gender,age,weight,wght18,height,diffwt,agegen
Male,27,144,134,69,10,1
Male,26,205,185,76,20,1
Male,27,175,140,72,35,1
Male,26,176,165,70,11,1
Male,28,180,160,75,20,1
Male,24,140,125,65,15,1
Male,22,185,200,70,-15,1
Male,22,250,220,76,30,1
Male,26,165,175,72,-10,1
Male,29,138,130,67,8,1
Male,27,162,130,68,32,1
Male,27,210,175,71,35,1
Male,27,175,168,70,7,1
Male,26,138,108,65,30,1
Male,22,160,155,86,5,1
Male,28,143,110,71,33,1
Male,28,148,140,70,8,1
Male,25,180,155,70,25,1
Male,29,165,130,68,35,1
Male,34,170,140,69,30,2
Male,34,140,120,68,20,2
Male,34,185,160,71,25,2
Male,32,179,165,68,14,2
Male,34,160,142,66,18,2
Male,30,120,100,70,20,2
Male,32,165,130,67,35,2
Male,31,160,147,73,13,2
Male,34,176,165,72,11,2
Male,33,170,135,70,35,2
Male,38,128,110,60,18,2
Male,31,165,150,71,15,2
Male,36,120,110,69,10,2
Male,33,185,140,74,45,2
Male,31,170,157,72,13,2
Female,26,125,115,64,10,3
Female,29,104,95,65,9,3
Female,23,145,140,66,5,3
Female,22,97,99,61,-2,3
Female,26,135,110,61,25,3
Female,26,110,110,60,0,3
Female,22,115,125,54,-10,3
Female,23,95,93,62,2,3
Female,24,165,160,71,5,3
Female,27,135,130,66,5,3
Female,26,123,140,66,-17,3
Female,24,145,135,64,10,3
Female,23,112,112,63,0,3
Female,24,118,116,66,2,3
Female,22,125,135,64,-10,3
Female,26,113,110,62,3,3
Female,26,125,116,63,9,3
Female,29,150,125,62,25,3
Female,29,165,135,64,30,3
Female,27,165,135,66,30,3
Female,24,126,135,65,-9,3
Female,28,175,152,66,23,3
Female,23,117,105,63,12,3
Female,27,110,103,60,7,3
Female,27,175,140,69,35,3
Female,21,155,140,65,15,3
Female,22,138,130,66,8,3
Female,26,120,108,63,12,3
Female,27,162,164,74,-2,3
Female,25,100,100,63,0,3
Female,24,145,137,69,8,3
Female,21,120,115,61,5,3
Female,24,130,120,62,10,3
Female,25,148,136,69,12,3
Female,23,140,120,61,20,3
Female,26,120,115,60,5,3
Female,24,125,120,64,5,3
Female,25,108,115,64,-7,3
Female,24,128,138,69,-10,3
Female,24,170,150,68,20,3
Female,28,117,115,64,2,3
Female,21,140,135,71,5,3
Female,27,118,110,63,8,3
Female,23,118,106,62,12,3
Female,30,100,100,62,0,4
Female,30,140,128,65,12,4
Female,32,120,135,62,-15,4
Female,35,125,132,74,-7,4
Female,41,180,115,62,65,4
Female,33,138,128,67,10,4
Female,38,145,130,69,15,4
Female,43,158,150,70,8,4
Female,55,180,132,70,48,4
Female,51,100,100,59,0,4
Female,35,125,100,60,25,4
Female,38,150,140,66,10,4
Female,30,115,115,63,0,4
Female,37,165,140,68,25,4
Female,32,117,120,67,-3,4
Female,37,121,106,61,15,4
Female,31,132,125,62,7,4
Female,34,145,145,65,0,4
Female,30,120,115,65,5,4
Female,30,150,130,68,20,4
Female,30,132,127,64,5,4
Female,33,120,100,63,20,4
Female,48,198,122,68,76,4
Female,32,130,132,66,-2,4
Female,33,175,130,66,45,4
Female,32,113,110,64,3,4
Female,32,125,118,64,7,4
Female,40,140,135,70,5,4
Female,36,133,135,67,-2,4
